Name,No. Posts,No. Followers,No. Following,No. Likes Ex 10 post,No. Likes Ex 11 post,No. Likes Ex 12 post,No. self posts from ex 9 posts, Sex,Date
User_133,68,357,"3,082",17,28,14,1,f,
User_134,924,383,688,39,17,6,0,f,
User_135,341,"1,711","2,033",61,24,73,2,f,
User_136,812,671,671,31,64,91,2,f,
User_137,135,639,432,49,59,70,4,m,
User_138,"5,600","6,755","1,084",16,8,7,0,m,Mar 18 2017
User_139,103,375,"1,152",32,38,76,4,f,
User_140,104,"1,247","4,087",194,157,125,4,m,
User_141,134,193,519,37,27,29,0,f,
User_142,220,"4,083","4,557",178,203,222,0,f,
User_143,84,"2,337","2,029",134,123,140,5,f,
User_144,137,646,175,67,95,98,5,f,
User_145,253,948,590,145,101,241,4,m,
User_146,69,954,439,106,115,126,9,m,
User_147,186,329,"1,971",67,52,54,0,m,
User_148,192,740,582,73,92,105,9,f,
User_149,829,901,510,104,113,127,6,f,
User_150,80,453,437,48,75,45,8,f,
User_151,88,240,472,17,12,7,6,m,
User_152,138,335,330,18,16,12,4,m,
User_153,314,"1,646","1,314",90,90,65,6,f,
User_154,419,463,579,40,49,43,3,f,
User_155,806,269,740,11,7,10,2,f,
User_156,404,"1,649","2,378",77,59,49,0,m,
User_157,474,"3,855","3,787",178,230,234,3,f,
User_158,76,45,319,7,4,5,4,m,
User_159,220,649,"3,710",28,80,31,9,f,
User_160,382,746,"2,987",16,24,24,2,f,
User_161,377,84,215,3,3,9,4,f,
User_162,105,"1,534","5,064",56,45,73,7,m,
User_163,240,"5,702","3,923",969,886,952,5,f,
User_164,"6,694",697,"2,809",8,9,13,5,m,
User_165,87,"1,022","5,214",56,28,30,6,m,
User_166,76,"2,201","1,684",262,329,175,1,f,
User_167,59,818,"2,878",11,16,11,1,m,
User_168,373,"9,381","7,405",144,165,135,6,m,
User_169,122,221,390,23,22,30,4,m,
User_170,265,"2,988","4,989",142,70,91,2,f,
User_171,73,336,553,21,22,30,2,m,
User_172,99,98,110,17,12,7,5,m,
User_173,71,134,165,23,19,11,3,m,
User_174,149,"2,391","1,924",349,356,379,8,f,
User_175,295,869,"2,954",47,20,36,5,f,
User_176,68,95,170,7,5,7,9,m,
User_177,215,703,"2,095",84,55,68,9,m,
User_178,281,504,459,69,32,33,1,m,
User_179,116,317,250,34,59,144,5,f,
User_180,67,200,262,47,43,58,5,m,
User_181,307,"1,245",899,242,323,303,0,f,
User_182,160,519,"2,756",29,20,20,0,m,
User_183,754,"1,421",731,449,405,341,0,f,
User_184,112,122,269,20,30,26,0,m,
User_185,527,"3,736","6,585",691,684,486,1,m,
User_186,58,354,"1,763",63,61,85,0,f,
User_187,405,221,530,65,21,58,0,f,
User_188,398,344,"1,338",21,30,24,0,f,
User_189,575,"2,202","5,690",342,359,313,0,f,
User_190,287,"5,968","6,291",255,352,362,5,f,
User_191,250,"1,434",714,153,179,158,9,m,
User_192,109,535,282,86,109,79,9,m,
User_193,67,575,359,110,51,98,9,m,
User_194,"1,112","1,668",883,146,175,187,7,f,
User_195,148,872,293,140,146,177,9,f,
User_196,127,"2,600","1,863",343,263,395,3,f,
User_197,140,500,398,41,54,51,9,m,
User_198,90,837,826,70,57,89,8,m,
User_199,559,"1,282","1,010",54,179,104,8,f,
User_200,174,449,309,54,73,42,9,m,
User_201,317,708,468,83,58,80,8,f,
User_202,716,638,356,88,73,57,9,m,
User_203,67,149,275,13,9,12,3,m,
User_204,"1,638","2,933",357,96,49,157,2,m,Mar 20 2017
User_205,998,"1,278","1,924",53,58,35,8,m,
User_206,937,855,"1,531",32,80,90,3,f,
User_207,182,626,522,123,87,86,6,m,
User_208,"2,326","2,570","1,625",25,14,7,2,f,
User_209,243,407,570,11,30,18,5,f,
User_210,"1,358","8,493","6,855",565,421,275,9,m,
User_211,742,639,"2,540",51,37,27,5,m,
User_212,507,991,638,200,100,168,7,m,
User_213,406,224,743,19,13,17,1,m,
User_214,765,"1,302",806,119,106,151,9,m,
User_215,234,"8,368","6,954",281,233,252,5,m,
User_216,551,380,410,20,19,39,4,f,
User_217,"1,441","1,745","7,412",103,65,92,5,m,
User_218,869,336,479,24,25,20,2,m,
User_219,218,146,155,39,44,12,4,m,
User_220,284,"2,851",823,185,163,149,8,m,
User_221,592,528,648,36,36,58,6,m,
User_222,139,436,649,60,32,40,4,m,
User_223,331,336,526,108,40,73,3,f,
User_224,183,116,170,29,48,30,8,f,
User_225,72,411,"1,607",77,76,114,7,m,
User_226,"4,004","3,055","3,287",151,83,109,5,m,
User_227,242,166,246,28,37,49,7,m,
User_228,155,950,"2,307",54,55,73,9,m,
User_229,156,126,310,23,10,11,6,m,
User_230,"2,189","2,103","2,463",6,30,17,6,f,
User_231,131,623,"2,194",50,73,75,3,m,
User_232,192,511,"1,500",37,44,36,9,m,
User_233,103,271,377,29,12,29,7,f,
User_234,538,221,409,14,17,4,0,m,
User_235,592,936,982,70,37,35,2,m,
User_236,321,"1,660","1,475",100,172,154,9,m,
User_237,468,"1,585","4,720",136,185,147,5,m,
User_238,"1,108",964,"2,268",74,84,94,4,m,
User_239,269,536,311,63,104,60,5,m,
User_240,192,662,"2,201",20,24,49,7,f,
User_241,726,847,"1,197",112,80,108,6,f,
User_242,"1,319","1,331",879,14,51,21,2,f,
User_243,"1,143","5,064",495,103,117,89,8,f,
User_244,122,430,"2,077",116,98,129,9,m,
User_245,243,"1,276",162,61,23,74,7,f,
User_246,605,397,"1,350",28,12,11,0,m,Mar 21 2017
User_247,255,"1,039","2,498",83,78,104,7,m,
User_248,"1,718",942,"1,076",29,11,39,8,m,
User_249,402,"2,425","3,817",196,146,117,7,m,
User_250,458,"4,859","3,362",583,479,552,4,m,
User_251,498,"2,405","4,708",69,68,80,9,m,
User_252,314,"2,330","2,438",72,56,131,1,m,
User_253,76,"1,276",500,104,52,119,5,m,
User_254,215,818,260,39,98,106,6,m,
User_255,105,"2,361","2,244",255,463,344,9,f,
User_256,207,203,627,16,6,25,6,m,
User_257,136,"1,073","4,180",95,75,44,4,f,
User_258,190,"2,007","6,530",33,45,54,1,f,
User_259,163,254,359,27,25,23,2,f,
User_260,816,"1,247",701,85,80,71,3,m,
User_261,66,145,209,7,7,5,6,f,
User_262,105,"1,138","4,140",74,89,101,0,f,
User_263,379,752,509,25,11,46,6,f,
User_264,511,880,"7,497",61,51,64,3,m,
User_265,371,"4,846","1,559",343,233,295,7,f,
User_266,677,883,801,66,114,69,6,f,
User_267,194,82,83,1,1,0,8,f,
User_268,254,478,978,123,54,17,9,m,
User_269,97,257,500,8,23,3,7,m,
User_270,121,"5,248","2,600",399,340,649,8,m,
User_271,71,218,315,17,12,18,1,f,
User_272,128,"1,300","1,137",477,517,493,9,m,
User_273,139,"1,179",171,116,101,125,8,m,
User_274,357,743,735,72,122,103,9,f,
User_275,207,758,510,26,16,25,5,f,
User_276,65,138,298,18,9,11,3,f,
User_277,228,"1,156","1,421",45,41,65,8,f,
User_278,160,303,241,45,52,43,1,f,
User_279,368,"7,682","3,980",883,519,940,6,f,
User_280,494,"1,179",803,119,11,111,8,m,
User_281,812,"6,249","1,106",34,30,41,6,f,
User_282,"1,603",765,"2,189",27,49,29,3,f,
User_283,311,677,949,35,17,44,6,f,
User_284,316,917,680,61,38,52,6,f,
User_285,"1,257","1,315","2,922",116,136,116,7,f,
User_286,198,295,429,11,34,24,4,f,
User_287,377,684,353,67,73,63,7,f,
User_288,135,"5,506",628,303,482,510,8,f,Mar 22 2017
User_289,78,"1,091",894,126,106,100,8,m,
User_290,80,"3,754","4,663",72,93,111,0,f,
User_291,80,"1,331","6,862",256,147,157,8,m,
User_292,262,"3,080","1,951",751,773,1028,4,m,
User_293,159,730,"3,322",38,60,95,0,m,
User_294,95,"4,061","1,587",168,204,150,3,f,
User_295,178,875,"5,007",6,21,17,0,m,
User_296,50,199,735,13,10,12,0,m,
User_297,64,375,"1,330",24,11,3,0,m,
User_298,486,"1,336","2,164",35,30,24,0,m,
User_299,"1,399","2,344","2,448",51,5,47,2,m,
User_300,"2,099",606,"1,034",19,13,10,1,m,
User_301,161,"1,790","3,740",65,61,23,6,m,
User_302,82,"2,686","2,848",136,124,155,3,m,
User_303,892,"9,648","7,388",118,70,109,4,m,
User_304,179,"1,836","7,446",54,66,34,6,m,
User_305,716,"1,710","1,987",59,49,71,5,f,
User_306,215,49,320,12,11,5,0,f,
User_307,437,750,703,117,135,138,8,f,
User_308,104,276,699,19,41,28,0,m,
User_309,158,226,216,25,21,12,3,f,
User_310,209,696,"3,027",16,11,12,1,m,
User_311,359,224,223,26,35,24,2,f,
User_312,439,334,962,19,14,26,1,f,
User_313,199,108,691,18,20,31,0,m,
User_314,165,147,199,46,34,52,3,f,
User_315,332,446,579,45,45,39,5,f,
User_316,96,574,405,166,150,111,5,f,
User_317,"2,241",943,"2,018",43,21,22,5,f,
User_318,258,"2,485",562,189,196,327,2,f,
User_319,103,384,"2,565",28,30,20,0,m,
User_320,571,"1,692","5,999",53,56,56,1,m,
User_321,115,"3,502","1,966",144,39,62,2,f,
User_322,934,"1,167",927,101,134,116,5,f,
User_323,211,"7,772","1,769",297,372,259,5,m,
User_324,201,449,302,95,88,83,6,f,
User_325,161,"1,184",626,198,162,166,3,f,
User_326,417,522,869,41,28,38,3,f,
User_327,137,"3,039",767,361,457,530,2,f,
User_328,288,799,671,228,219,216,7,f,
User_329,431,"3,036",886,450,472,275,2,f,
User_330,"1,417","6,158","1,265",374,631,245,5,f,Mar 23 2017
User_331,142,650,431,168,116,77,0,f,
User_332,375,"1,068",899,104,92,109,0,f,
User_333,160,916,788,186,182,146,9,f,
User_334,200,362,200,27,44,32,3,f,
User_335,144,622,670,157,198,157,6,f,
User_336,106,166,178,59,38,31,3,f,
User_337,102,"1,009","2,294",131,199,165,5,f,
User_338,"1,764","1,043","1,590",129,119,157,6,f,
User_339,229,"1,831","6,624",88,54,64,1,m,
User_340,351,506,"4,004",24,17,17,4,f,
User_341,484,"1,047","1,026",239,144,192,5,f,
User_342,659,"6,609","6,556",1178,1176,1363,0,m,
User_343,330,"1,687","1,994",276,280,223,8,f,
User_344,549,"7,319",481,159,205,126,6,f,
User_345,546,"3,213","2,484",133,111,125,4,f,
User_346,116,752,"3,061",146,127,190,3,f,
User_347,"1,024","8,582",688,1513,375,392,8,f,
User_348,186,"1,578",901,224,267,380,7,f,
User_349,315,"3,625","2,616",134,143,134,8,f,
User_350,928,899,"2,372",20,8,10,7,m,
User_351,218,959,781,148,208,174,7,f,
User_352,95,"3,174","1,837",427,566,563,7,f,
User_353,93,789,524,238,264,247,9,f,
User_354,122,"1,524",484,191,222,183,9,f,
User_355,802,"7,634","5,732",156,139,207,0,f,
User_356,843,"5,817",513,59,48,73,7,f,
